Municipality,Province,Type
Buffalo City Metropolitan,Eastern Cape,Metropolitan
City of Cape Town Metropolitan,Western Cape,Metropolitan
City of Ekurhuleni Metropolitan,Gauteng,Metropolitan
City of Johannesburg Metropolitan,Gauteng,Metropolitan
City of Tshwane Metropolitan,Gauteng,Metropolitan
eThekwini Metropolitan,KwaZulu Natal,Metropolitan
Mangaung Metropolitan,Free State,Metropolitan
Nelson Mandela Bay Metropolitan,Eastern Cape,Metropolitan
Alfred Nzo District,Eastern Cape,District
Amajuba District,KwaZulu Natal,District
Amathole District,Eastern Cape,District
Bojanala Platinum District,North West,District
Cape Winelands District,Western Cape,District
Capricorn District,Limpompo,District
Central Karoo District,Western Cape,District
Chris Hani District,Eastern Cape,District
Dr Kenneth Kaunda District,North West,District
Dr Ruth Segomotsi Mompati District,North West,District
Ehlanzeni District,Mpumalanga,District
Fezile Dabi District,Free State,District
Frances Baard District,Northern Cape,District
Garden Route District,Western Cape,District
Gert Sibande District,Mpumalanga,District
Harry Gwala District,KwaZulu Natal,District
iLembe District,KwaZulu Natal,District
Joe Gqabi District,Eastern Cape,District
John Taolo Gaetsewe District,Northern Cape,District
King Cetshwayo District,KwaZulu Natal,District
Lejweleputswa District,Free State,District
Mopani District,Limpompo,District
Namakwa District,Northern Cape,District
Ngaka Modiri Molema District,North West,District
Nkangala District,Mpumalanga,District
OR Tambo District,Eastern Cape,District
Overberg District,Western Cape,District
Pixley Ka Seme District,Northern Cape,District
Sarah Baartman District,Eastern Cape,District
Sedibeng District,Gauteng,District
Sekhukhune District,Limpompo,District
Thabo Mofutsanyana District,Free State,District
Ugu District,KwaZulu Natal,District
uMgungundlovu District,KwaZulu Natal,District
uMkhanyakude District,KwaZulu Natal,District
uMzinyathi District,KwaZulu Natal,District
uThukela District,KwaZulu Natal,District
Vhembe District,Limpompo,District
Waterberg District,Limpompo,District
West Coast District,Western Cape,District
West Rand District,Gauteng,District
Xhariep District,Free State,District
ZF Mgcawu District,Northern Cape,District
Zululand District,KwaZulu Natal,District
!Kheis Local,Northern Cape,Local
AbaQulusi Local,KwaZulu Natal,Local
Alfred Duma Local,KwaZulu Natal,Local
Amahlathi Local,Eastern Cape,Local
Ba-Phalaborwa Local,Limpompo,Local
Beaufort West Local,Western Cape,Local
Bela-Bela Local,Limpompo,Local
Bergrivier Local,Western Cape,Local
Big 5 Hlabisa Local,KwaZulu Natal,Local
Bitou Local,Western Cape,Local
Blouberg Local,Limpompo,Local
Blue Crane Route Local,Eastern Cape,Local
Breede Valley Local,Western Cape,Local
Bushbuckridge Local,Mpumalanga,Local
Cape Agulhas Local,Western Cape,Local
Cederberg Local,Western Cape,Local
Chief Albert Luthuli Local,Mpumalanga,Local
City of Matlosana Local,North West,Local
City of Mbombela Local,Mpumalanga,Local
