Province,Municipality,City
Eastern Cape,Buffalo City Metropolitan,Beacon Bay
Eastern Cape,Buffalo City Metropolitan,Bisho
Eastern Cape,Buffalo City Metropolitan,Breidbach,
Eastern Cape,Buffalo City Metropolitan,Dimbaza
Eastern Cape,Buffalo City Metropolitan,East London
Eastern Cape,Buffalo City Metropolitan,Kidd's Beach
Eastern Cape,Buffalo City Metropolitan,Mdantsane
Eastern Cape,Buffalo City Metropolitan,Ntabozuko (Berlin)
Eastern Cape,Buffalo City Metropolitan,Phakamisa
Eastern Cape,Buffalo City Metropolitan,Potsdam
Eastern Cape,Buffalo City Metropolitan,Qonce (King William's Town),
Eastern Cape,Buffalo City Metropolitan,Zwelitsha
Eastern Cape,Nelson Mandela Bay Metropolitan,Bethelsdorp
Eastern Cape,Nelson Mandela Bay Metropolitan,Bloemendal
Eastern Cape,Nelson Mandela Bay Metropolitan,Blue Horizon Bay
Eastern Cape,Nelson Mandela Bay Metropolitan,Clarendon Marine
Eastern Cape,Nelson Mandela Bay Metropolitan,Despatch
Eastern Cape,Nelson Mandela Bay Metropolitan,Gqeberha (Port Elizabeth)
Eastern Cape,Nelson Mandela Bay Metropolitan,Kariega (Uitenhage)
Eastern Cape,Nelson Mandela Bay Metropolitan,KwaNobuhle
Eastern Cape,Nelson Mandela Bay Metropolitan,Motherwell
Eastern Cape,Nelson Mandela Bay Metropolitan,Summerstrand
Eastern Cape,Nelson Mandela Bay Metropolitan,Swartkops
Eastern Cape,Alfred Nzo District,Bizana
Eastern Cape,Alfred Nzo District,Cedarville
Eastern Cape,Alfred Nzo District,KwaBhaca (Mount Frere)
Eastern Cape,Alfred Nzo District,Matatiele
Eastern Cape,Alfred Nzo District,Tabankulu
Eastern Cape,Alfred Nzo District,eMaxesibeni (Mount Ayliff)
Eastern Cape,Amathole District,Adelaide
Eastern Cape,Amathole District,Alice
Eastern Cape,Amathole District,Amatola Coastal
Eastern Cape,Amathole District,Bedford
Eastern Cape,Amathole District,Butterworth
Eastern Cape,Amathole District,Cathcart
Eastern Cape,Amathole District,Dutywa
Eastern Cape,Amathole District,Elliotdale
Eastern Cape,Amathole District,Hamburg
Eastern Cape,Amathole District,Hogsback
Eastern Cape,Amathole District,Kei Mouth
Eastern Cape,Amathole District,Kei Road
Eastern Cape,Amathole District,Keiskammahoek
Eastern Cape,Amathole District,Kentani
Eastern Cape,Amathole District,Komga
Eastern Cape,Amathole District,KwaMaqoma (Fort Beaufort)
Eastern Cape,Amathole District,Middeldrift
Eastern Cape,Amathole District,Morgan Bay
Eastern Cape,Amathole District,Ngqamakhwe
Eastern Cape,Amathole District,Peddie
Eastern Cape,Amathole District,Seymore
Eastern Cape,Amathole District,Stutterheim
Eastern Cape,Amathole District,Tshoxa
Eastern Cape,Amathole District,Willowvale
Eastern Cape,Chris Hani District,Cacadu (Lady Frere)
Eastern Cape,Chris Hani District,Cala
Eastern Cape,Chris Hani District,Cofimvaba
Eastern Cape,Chris Hani District,Dordrecht
Eastern Cape,Chris Hani District,Engcobo
Eastern Cape,Chris Hani District,Hofmeyr
Eastern Cape,Chris Hani District,Indwe
Eastern Cape,Chris Hani District,Khowa (Elliot)
Eastern Cape,Chris Hani District,Komani (Queenstown)
Eastern Cape,Chris Hani District,Middelburg
Eastern Cape,Chris Hani District,Molteno
Eastern Cape,Chris Hani District,Mount Zebra National Park
Eastern Cape,Chris Hani District,Nxuba (Cradock)
Eastern Cape,Chris Hani District,Sada
Eastern Cape,Chris Hani District,Sterkstroom
Eastern Cape,Chris Hani District,Tarkastad
